,bird_ID,motif_ID,motif_onset,motif_offset,motif_duration,condition,Brother_ID,syllable_count,syll_per_sec,age
292,Tng,motif11,0.003133,0.481251,0.478118,Yoked,1_G,7,14.640737223865239,ninety
293,Tng,motif3,0.029574,0.730258,0.700684,Yoked,1_G,11,15.698945601726313,ninety
294,Tng,motif4,0.001517,0.678693,0.677176,Yoked,1_G,11,16.243930676810756,ninety
295,Tng,motif5,0.001517,0.615853,0.614336,Yoked,1_G,9,14.649963537868528,ninety
296,Tng,motif6,0.004768,0.764449,0.759681,Yoked,1_G,13,17.112445881889897,ninety
297,Tng,motif7,0.000795,0.545922,0.545127,Yoked,1_G,8,14.675479291981501,ninety
298,Tng,motif8,0.000795,0.629445,0.62865,Yoked,1_G,9,14.316392269148174,ninety
299,Tng,motif9,0.000795,0.492494,0.491699,Yoked,1_G,7,14.236351914484269,ninety
300,Y,motif1,0.010365,0.364804,0.354439,Yoked,1_E,6,16.928159711544158,ninety
301,Y,motif10,0.012619,0.460587,0.44796800000000003,Yoked,1_E,8,17.85841845846132,ninety
302,Y,motif2,0.002109,0.427331,0.425222,Yoked,1_E,6,14.110276514385427,ninety
303,Y,motif3,0.047794,0.657628,0.609834,Yoked,1_E,12,19.67748600438808,ninety
304,Y,motif4,0.011246,0.417491,0.406245,Yoked,1_E,8,19.69255006215461,ninety
305,Y,motif5,0.018274,0.457553,0.439279,Yoked,1_E,8,18.21166047090801,ninety
306,Y,motif6,0.021563,0.457553,0.43599,Yoked,1_E,8,18.34904470286016,ninety
307,Y,motif7,0.010002,0.433093,0.423091,Yoked,1_E,8,18.90846177299919,ninety
308,Y,motif8,0.016299,0.460587,0.444288,Yoked,1_E,8,18.00633823105733,ninety
309,Y,motif9,0.007361,0.436401,0.42904,Yoked,1_E,8,18.64628006712661,ninety
310,Y-O,motif1,0.039703,0.961793,0.92209,Contingent,2_,13,14.098406880022559,ninety
311,Y-O,motif11,0.028407,0.894833,0.866426,Contingent,2_,14,16.158333198680555,ninety
312,Y-O,motif12,0.012019,0.685056,0.673037,Contingent,2_,11,16.3438265652557,ninety
313,Y-O,motif13,0.000985,0.926761,0.9257759999999999,Contingent,2_,15,16.202623528801784,ninety
314,Y-O,motif14,0.0,1.04122,1.04122,Contingent,2_,15,14.406177368855765,ninety
315,Y-O,motif15,0.00437,0.652265,0.647895,Contingent,2_,10,15.434599742242185,ninety
316,Y-O,motif2,0.010918,0.586604,0.575686,Contingent,2_,8,13.896464392047053,ninety
317,Y-O,motif6,0.01308,0.737893,0.724813,Contingent,2_,9,12.416995832028398,ninety
318,Y-O,motif7,0.019667,1.03687,1.0172029999999999,Contingent,2_,17,16.71249494938572,ninety
319,Y-O,motif8,0.003278,0.656648,0.65337,Contingent,2_,10,15.30526348011081,ninety
320,Y-PU,motif1,0.023117,1.009796,0.9866789999999999,Contingent,1_D,17,17.229514360800223,ninety
321,Y-PU,motif10,0.038119,0.827398,0.789279,Contingent,1_D,14,17.737707451990996,ninety
322,Y-PU,motif2,0.007848,0.68165,0.673802,Contingent,1_D,11,16.325270628463553,ninety
323,Y-PU,motif3,0.019059,0.728738,0.709679,Contingent,1_D,11,15.499965477349619,ninety
324,Y-PU,motif4,0.034755,0.82461,0.789855,Contingent,1_D,14,17.724772268327733,ninety
325,Y-PU,motif5,0.005606,0.631199,0.625593,Contingent,1_D,9,14.386350230900922,ninety
326,Y-PU,motif6,0.0,0.566173,0.566173,Contingent,1_D,10,17.662445930837393,ninety
327,Y-PU,motif7,0.001121,0.609898,0.608777,Contingent,1_D,9,14.783738544655925,ninety
328,Y-PU,motif8,0.001121,0.673802,0.672681,Contingent,1_D,11,16.352476136534257,ninety
329,Y-PU,motif9,0.011211,0.718648,0.707437,Contingent,1_D,11,15.549087763291997,ninety
330,Y_O,motif1,0.049911,0.882394,0.832483,Contingent,1_F,9,10.811031576620785,ninety
331,Y_O,motif10,0.025255,0.85971,0.834455,Contingent,1_F,9,10.785482740231648,ninety
332,Y_O,motif11,0.026307,0.874442,0.8481350000000001,Contingent,1_F,9,10.611518213491955,ninety
333,Y_O,motif12,0.039182,0.884402,0.84522,Contingent,1_F,9,10.648115283594803,ninety
334,Y_O,motif14,0.032806,0.885775,0.852969,Contingent,1_F,9,10.551379944640427,ninety
335,Y_O,motif2,0.038611,0.86921,0.8305990000000001,Contingent,1_F,9,10.83555361853313,ninety
336,Y_O,motif3,0.025427,0.860734,0.835307,Contingent,1_F,9,10.774481717500272,ninety
337,Y_O,motif7,0.024026,0.834427,0.810401,Contingent,1_F,9,11.105613147071635,ninety
338,Y_O,motif8,0.019454,0.834427,0.8149730000000001,Contingent,1_F,9,11.043310637284915,ninety
339,Y_O,motif9,0.00947,1.008081,0.998611,Contingent,1_F,11,11.015300252050098,ninety
